source,period_d,duration_h,depth_ppm,snr,planet_radius_re,stellar_teff_k,stellar_logg,stellar_radius_rs,label,is_candidate,raw_disposition
K2,0.841202,,,,82.0,6237.0,3.85,2.31,0.0,0,FALSE POSITIVE
K2,0.8411257,,,,0.884,4289.0,,0.66,,1,CANDIDATE
K2,0.17566,,,,3.11,6620.0,4.19,1.15,,1,CANDIDATE
K2,29.33873041,,,,,3171.0,4.71253,0.528528,,1,CANDIDATE
K2,22.7984,,,,9.0,6195.0,4.18,1.37,0.0,0,FALSE POSITIVE
K2,1.68027,,,,2.9,,,1.275,,1,CANDIDATE
K2,2.54427583,,,,,8188.0,3.71913,3.23826,,1,CANDIDATE
K2,0.7099504,,,,80.0,,,2.065,,1,CANDIDATE
K2,1.8204,,,,,3112.0,4.72526,0.5139,0.0,0,FALSE POSITIVE
K2,2.809,,,,,2901.0,4.75991,0.474383,0.0,0,FALSE POSITIVE
K2,1.404411,,,,99.0,6933.0,4.02,2.02,0.0,0,FALSE POSITIVE
K2,1.4044283,,,,3.66,2721.0,,0.12,0.0,0,FALSE POSITIVE
K2,3.400858,,,,14.1,,,0.983,,1,CANDIDATE
K2,3.4007758,,,,5.57,5520.0,,0.89,,1,CANDIDATE
K2,,,,,7.51,,,1.249,,1,CANDIDATE
K2,,,,,,3095.0,,,,1,CANDIDATE
K2,8.2781,,,,,6520.0,,,0.0,0,FALSE POSITIVE
K2,8.2758,,,,10.2,5926.0,4.16,1.6,0.0,0,FALSE POSITIVE
K2,8.2766395,,,,0.724,2586.0,,0.11,0.0,0,FALSE POSITIVE
K2,0.6199,,,,,2978.0,4.65423,0.596423,0.0,0,FALSE POSITIVE
K2,28.46762,,,,37.0,,,1.97,,1,CANDIDATE
K2,28.465633,,,,18.4,5700.0,,0.96,,1,CANDIDATE
K2,4.5417,,,,,2897.0,4.61636,0.641751,0.0,0,FALSE POSITIVE
K2,83830.0,,,,12.0,4000.0,,0.74,,1,CANDIDATE
K2,8.79689,,,,4.85,,,2.047,,1,CANDIDATE
K2,1.153886,,,,99.0,6841.0,4.09,1.8,,1,CANDIDATE
K2,1.6398934,,,,33.0,5175.0,,0.79,,1,CANDIDATE
K2,1.486243,,,,58.0,5991.0,3.984,1.87,0.0,0,FALSE POSITIVE
K2,23.210585,,,,5.7,5244.0,,0.81,,1,CANDIDATE
K2,23.21037,,,,15.3,,,1.207,,1,CANDIDATE
K2,1.330023,,,,44.0,,,2.4,,1,CANDIDATE
K2,50.73641,,,,10.31,,,1.349,,1,CANDIDATE
K2,1.124,,,,,3074.0,4.73262,0.50547,0.0,0,FALSE POSITIVE
K2,0.7474,,,,,,,,0.0,0,FALSE POSITIVE
K2,46.1373,,,,2.6,,,0.723,,1,CANDIDATE
K2,1.957,,,,,3913.0,,45.3731,,1,CANDIDATE
K2,22.6398,,,,1.27,,,0.862,,1,CANDIDATE
K2,24.193613,,,,30.7,5457.0,,0.87,,1,CANDIDATE
K2,2.784496,,,,2.09,,,0.256,,1,CANDIDATE
K2,0.64292573,,,,,2914.0,4.86227,0.362033,,1,CANDIDATE
K2,1.4562,,,,,,,,0.0,0,FALSE POSITIVE
K2,2.8742,,,,,3648.0,,1.41662,0.0,0,FALSE POSITIVE
K2,10.2236,,,,132.0,6960.0,4.05,2.04,,1,CANDIDATE
K2,1.6281,,,,,5691.0,3.56677,2.74444,0.0,0,FALSE POSITIVE
K2,2.7518,,,,0.669,,,0.647,,1,CANDIDATE
K2,,,,,133.0,,,8.12,,1,CANDIDATE
K2,23.277669,,,,32.8,4379.0,,0.68,,1,CANDIDATE
K2,24.6842,,,,2.49,,,1.17,,1,CANDIDATE
K2,2.2,,,,8.4,4800.0,,0.87,,1,CANDIDATE
K2,2.6454165,,,,9.47,5179.0,,0.79,,1,CANDIDATE
K2,2.64594828,,,,,6634.0,3.98751,1.98054,,1,CANDIDATE
K2,20.98296043,,,,,4822.0,4.59235,0.739921,,1,CANDIDATE
K2,1.5271792,,,,,5359.0,4.49859,0.899453,,1,CANDIDATE
K2,7.8392,,,,1.46,,,1.115,,1,CANDIDATE
K2,9.2048,,,,,11886.0,3.82208,3.61562,0.0,0,FALSE POSITIVE
K2,2.32046168,,,,,,,,,1,CANDIDATE
K2,2.320937,,,,15.7,,,1.157,,1,CANDIDATE
K2,1.94297,,,,2.571,3197.0,4.846,0.436,,1,CANDIDATE
K2,1.3178719,,,,62.0,,,1.975,0.0,0,FALSE POSITIVE
K2,1.3179,,,,55.0,5876.0,4.39,1.07,0.0,0,FALSE POSITIVE
K2,0.2338108,,,,,,,,,1,CANDIDATE
K2,1.1488,,,,,3429.0,4.07241,0.984957,0.0,0,FALSE POSITIVE
K2,46.38363,,,,3.22,,,0.762,,1,CANDIDATE
K2,46.40651,,,,3.35,4812.0,,0.73,,1,CANDIDATE
K2,16.56127,,,,0.957,,,0.258,,1,CANDIDATE
K2,16.563155,,,,1.66,3669.0,,0.48,,1,CANDIDATE
K2,18.357773,,,,1.74,4937.0,,0.75,,1,CANDIDATE
K2,18.3647,,,,2.61,,,1.22,,1,CANDIDATE
K2,21.9184,,,,3.18,,,0.72,,1,CANDIDATE
K2,49.8558,,,,3.29,,,1.359,,1,CANDIDATE
K2,4.9818921,,,,2.66,5849.0,,1.04,,1,CANDIDATE
K2,4.98049071,,,,,5234.0,4.27715,1.13733,,1,CANDIDATE
K2,4.981838,,,,2.39347065,5774.0,4.37,0.978267,,1,CANDIDATE
K2,4.98205,,,,2.3,5594.0,4.382,1.01,,1,CANDIDATE
K2,4.9815,,,,2.39,,,0.92,,1,CANDIDATE
K2,3.3055191,,,,1.27,3430.0,,0.35,,1,CANDIDATE
K2,3.30524,,,,6.6,,,1.79,,1,CANDIDATE
K2,1.8361,,,,,,,,0.0,0,FALSE POSITIVE
K2,14.5444413,,,,,,,,,1,CANDIDATE
K2,4.30221683,,,,,7168.62,3.42072,4.08069,,1,CANDIDATE
K2,8.02678456,,,,,4708.46,,5.5996,0.0,0,FALSE POSITIVE
K2,8.0241306,,,,4.42,3939.0,,0.58,0.0,0,FALSE POSITIVE
K2,8.02415,,,,194.0,4734.0,2.95,6.1,0.0,0,FALSE POSITIVE
K2,8.02335,,,,86.0,,,5.13,0.0,0,FALSE POSITIVE
K2,11.31028,,,,18.9,,,1.44,,1,CANDIDATE
K2,11.31009,,,,130.0,4793.0,2.37,10.0,,1,CANDIDATE
K2,16.63311,,,,44.0,5700.0,3.84,2.19,,1,CANDIDATE
K2,16.63237,,,,10.7,3648.0,,0.47,,1,CANDIDATE
K2,16.63091654,,,,,5121.0,4.16342,1.27372,,1,CANDIDATE
K2,1.057171,,,,1.51,,,1.004,,1,CANDIDATE
K2,4.377326,,,,27.0,5928.0,4.08,1.43,0.0,0,FALSE POSITIVE
K2,4.37983009,,,,,5982.0,4.07039,1.60152,0.0,0,FALSE POSITIVE
